"Field %s is required","Pole %s jest wymagane"
"Field %s is invalid","Pole %s jest nieprawidłowe"
"Field %s is unknown","Pole %s jest nieznane"
"Field %s value is too big","Wartość pola %s jest za duża"
"Field %s value is too small","Wartość pola %s jest za mała"
"%s not found","%s nie znaleziono"
"Method Title","Nazwa metody"
"Carrier Title","Nazwa metody dostawy"
"Select Method","Wybierz metodę"
"Title","Tytuł"
"Method name","Nazwa metody"
"Price calculation type","Typ kalkulacji ceny"
"When cart weight is out of range","Gdy waga koszyka jest poza zakresem"
"Enable free shipping threshold","Włącz próg darmowej dostawy"
"Free shipping amount threshold","Próg kwotowy darmowej dostawy"
"Free shipping amount threshold including tax","Próg kwotowy darmowej dostawy z podatkiem"
"Position","Pozycja"
"Logo for checkout","Logo dla kasy"
"Max cart weight","Maksymalna waga koszyka"
"Ship to applicable countries","Wysyłka do dozwolonych krajów"
"Ship to specific countries","Wysyłka do wybranych krajów"
"Mode","Tryb"
"Production client ID","ID klienta produkcyjnego"
"Production client secret","Klucz tajny klienta produkcyjnego"
"Sandbox client ID","ID klienta testowego"
"Sandbox client secret","Klucz tajny klienta testowego"
"Production geowidget token","Token geowidget produkcyjny"
"Sandbox geowidget token","Token geowidget testowy"
"Weight attribute code","Kod cechy produktu z wagą"
"Automatically create InPost shipment after order placement","Automatycznie twórz przesyłkę InPost po złożeniu zamówienia"
"Automatically create an order shipment after creating an InPost shipment","Automatycznie twórz wysyłkę zamówienia po utworzeniu przesyłki InPost"
"After creating an InPost shipment change order status","Po utworzeniu przesyłki InPost zmień status zamówienia"
"Automatically set insurance to InPost shipments","Automatycznie ustaw ubezpieczenie dla przesyłek InPost"
"Insurance fixed value","Stała wartość ubezpieczenia"
"Production well-known url","Production well-known url"
"Sandbox well-known url","Sandbox well-known url"
"Sender data and settings","Dane i ustawienia nadawcy"
"Sending country","Kraj nadania"
"Language","Język"
"If a product in the shopping cart has no weight, its weight is treated as zero.","Jeśli produkt w koszyku nie ma wagi, jego waga jest traktowana jako zero."
"Allowed file types: jpg, jpeg, gif, png","Dozwolone typy plików: jpg, jpeg, gif, png"
"The default value of 25 refers to the maximum weight of a package that Inpost delivers in kilograms. If you use a different unit, adjust this value and set the appropriate unit in the ""Inpost - general configuration"" section","Domyślna wartość 25 odnosi się do maksymalnej wagi paczki, którą dostarcza Inpost w kilogramach. Jeśli używasz innej jednostki, dostosuj tę wartość i ustaw odpowiednią jednostkę w sekcji ""Inpost - konfiguracja ogólna"""
"Client ID and Client Secret needs to be saved before You will request authorization. Authorization needs to be refreshed after mode change.","ID klienta i klucz tajny muszą zostać zapisane przed żądaniem autoryzacji. Autoryzacja musi zostać odświeżona po zmianie trybu."
"InPost International","InPost International"
"Shipments","Przesyłki"
"Pickups","Podjazdy kuriera"
"Pickup addresses","Adresy podjazdu kuriera"
"Parcel templates","Szablony paczek"
"Weight-based prices","Ceny oparte na wadze"
"Carrier configuration","Konfiguracja metody dostawy"
"Module configuration","Konfiguracja modułu"
"InPost International - International shipment to point","InPost International - Przesyłka międzynarodowa do punktu"
"Enabled","Włączone"
"Enable","Włącz"
"Disable","Wyłącz"
"Cancel","Anuluj"
"Action","Akcja"
"Barcode can only contain letters and numbers (max 16 characters)","Kod kreskowy może zawierać tylko litery i cyfry (maksymalnie 16 znaków)"
"Both Barcode and Comment fields must be either filled or empty","Zarówno pole kodu kreskowego jak i komentarza muszą być wypełnione lub puste"
"Pickup for postal code %1 possible until: %2","Podjazd dla kodu pocztowego %1 możliwy do: %2"
"Poland","Polska"
"Selected pickup point: %1","Wybrany punkt odbioru: %1"
"Barcode can only contain letters, numbers, or {orderId} (max 16 characters)","Kod kreskowy może zawierać tylko litery, cyfry lub {orderId} (maksymalnie łącznie 16 znaków)"
